Time (hr),MJD (days),Altitude (km),Latitude (deg),Longitude (deg),LocalTime (hrs),Alpha (deg),L-shell,Orbit
0.0,26670.0,992.835,0.0,253.644737,16.909649,90.0,1.1655,0
0.01639,26670.00069444,1002.085,-5.6311e-07,257.865168,17.207678,90.0,1.1723,0
0.03333,26670.00138889,1029.734,-2.225477e-06,262.063303,17.50422,90.0,1.1835,0
0.04972,26670.00208333,1075.48,-4.913372e-06,266.217584,17.797839,90.0,1.1987,0
0.06667,26670.00277778,1138.835,-8.514826e-06,270.307863,18.087191,90.0,1.2182,0
0.08306,26670.00347222,1219.145,-1.288974e-05,274.315971,18.371065,90.0,1.2418,0
0.1,26670.00416667,1315.618,-1.788152e-05,278.226128,18.648409,90.0,1.2691,0
0.11639,26670.00486111,1427.352,-2.332857e-05,282.025196,18.918346,90.0,1.2996,0
0.13333,26670.00555556,1553.366,-2.907432e-05,285.702768,19.180185,90.0,1.332,0
0.15,26670.00625,1692.632,-3.497502e-05,289.251122,19.433408,90.0,1.3659,0
0.16639,26670.00694444,1844.096,-4.090482e-05,292.665048,19.67767,90.0,1.4003,0
0.18333,26670.00763889,2006.709,-4.675843e-05,295.941618,19.912775,90.0,1.4346,0
0.19972,26670.00833333,2179.439,-5.245166e-05,299.079885,20.138659,90.0,1.4683,0
0.21667,26670.00902778,2361.292,-5.792042e-05,302.08058,20.355372,90.0,1.5013,0
0.23306,26670.00972222,2551.321,-6.311874e-05,304.945801,20.563053,90.0,1.5336,0
0.25,26670.01041667,2748.633,-6.801621e-05,307.678726,20.761915,90.0,1.5653,0
0.26639,26670.01111111,2952.395,-7.25953e-05,310.283352,20.952223,90.0,1.5967,0
0.28333,26670.01180556,3161.832,-7.684878e-05,312.764265,21.134284,90.0,1.6283,0
0.3,26670.0125,3376.235,-8.077732e-05,315.126452,21.30843,90.0,1.6598,0
0.31639,26670.01319444,3594.951,-8.438752e-05,317.375134,21.475009,90.0,1.6916,0
0.33333,26670.01388889,3817.387,-8.769011e-05,319.515646,21.634376,90.0,1.7238,0
0.34972,26670.01458333,4043.004,-9.069868e-05,321.553327,21.786888,90.0,1.7564,0
0.36667,26670.01527778,4271.314,-9.342854e-05,323.49345,21.932897,90.0,1.7896,0
0.38306,26670.01597222,4501.875,-9.589589e-05,325.34116,22.072744,90.0,1.8232,0
0.4,26670.01666667,4734.292,-9.811724e-05,327.101432,22.206762,90.0,1.8574,0
0.41639,26670.01736111,4968.206,-0.000100109,328.779044,22.33527,90.0,1.8916,0
0.43333,26670.01805556,5203.298,-0.0001018869,330.378558,22.458571,90.0,1.9266,0
0.45,26670.01875,5439.281,-0.0001034663,331.904311,22.576954,90.0,1.9617,0
0.46639,26670.01944444,5675.895,-0.0001048615,333.360411,22.690694,90.0,1.9971,0
0.48333,26670.02013889,5912.912,-0.000106086,334.750735,22.800049,90.0,2.0327,0
0.49972,26670.02083333,6150.126,-0.0001071526,336.078938,22.905263,90.0,2.0684,0
0.51667,26670.02152778,6387.351,-0.0001080727,337.348457,23.006564,90.0,2.1043,0
0.53306,26670.02222222,6624.425,-0.0001088574,338.562521,23.104168,90.0,2.1403,0
0.55,26670.02291667,6861.199,-0.0001095165,339.724158,23.198277,90.0,2.1763,0
0.56639,26670.02361111,7097.545,-0.0001100592,340.836207,23.28908,90.0,2.2126,0
0.58333,26670.02430556,7333.344,-0.0001104939,341.90133,23.376755,90.0,2.2486,0
0.6,26670.025,7568.494,-0.0001108283,342.92202,23.461468,90.0,2.2845,0
0.61639,26670.02569444,7802.903,-0.0001110695,343.900612,23.543374,90.0,2.3203,0
0.63333,26670.02638889,8036.489,-0.0001112239,344.839292,23.622619,90.0,2.3561,0
0.64972,26670.02708333,8269.178,-0.0001112975,345.74011,23.699341,90.0,2.3923,0
0.66667,26670.02777778,8500.908,-0.0001112956,346.604986,23.773666,90.0,2.4279,0
0.68306,26670.02847222,8731.621,-0.0001112231,347.435719,23.845715,90.0,2.4635,0
0.7,26670.02916667,8961.267,-0.0001110847,348.233997,23.9156,90.0,2.499,0
0.71639,26670.02986111,9189.801,-0.0001108844,349.001402,23.983427,90.0,2.5342,0
0.73333,26670.03055556,9417.186,-0.0001106261,349.739421,0.049295,90.0,2.5694,0
0.75,26670.03125,9643.388,-0.0001103132,350.449449,0.113297,90.0,2.6045,0
0.76639,26670.03194444,9868.376,-0.0001099488,351.132796,0.17552,90.0,2.6392,0
0.78333,26670.03263889,10092.13,-0.0001095359,351.790696,0.236046,90.0,2.674,0
0.79972,26670.03333333,10314.61,-0.0001090772,352.424306,0.294954,90.0,2.7084,0
0.81667,26670.03402778,10535.82,-0.0001085751,353.034719,0.352315,90.0,2.7427,0
0.83306,26670.03472222,10755.74,-0.0001080319,353.622963,0.408198,90.0,2.7767,0
0.85,26670.03541667,10974.34,-0.0001074497,354.190006,0.462667,90.0,2.8106,0
0.86639,26670.03611111,11191.63,-0.0001068303,354.736762,0.515784,90.0,2.8442,0
0.88333,26670.03680556,11407.58,-0.0001061755,355.264094,0.567606,90.0,2.878,0
0.9,26670.0375,11622.2,-0.000105487,355.772815,0.618188,90.0,2.9114,0
0.91639,26670.03819444,11835.48,-0.0001047662,356.263696,0.66758,90.0,2.9445,0
0.93333,26670.03888889,12047.4,-0.0001040146,356.737464,0.715831,90.0,2.9775,0
0.94972,26670.03958333,12257.99,-0.0001032333,357.194807,0.762987,90.0,3.0103,0
0.96667,26670.04027778,12467.22,-0.0001024236,357.636378,0.809092,90.0,3.0428,0
0.98306,26670.04097222,12675.09,-0.0001015866,358.062794,0.854186,90.0,3.0752,0
1.0,26670.04166667,12881.62,-0.0001007232,358.474642,0.898309,90.0,3.1074,0
1.01639,26670.04236111,13086.8,-9.983442e-05,358.872476,0.941498,90.0,3.1393,0
1.03333,26670.04305556,13290.64,-9.892112e-05,359.256824,0.983788,90.0,3.1711,0
1.05,26670.04375,13493.13,-9.79841e-05,359.628187,1.025212,90.0,3.2026,0
1.06639,26670.04444444,13694.28,-9.70241e-05,359.987042,1.065803,90.0,3.2341,0
1.08333,26670.04513889,13894.09,-9.604182e-05,0.33384,1.105589,90.0,3.2651,0
1.09972,26670.04583333,14092.58,-9.503791e-05,0.669014,1.144601,90.0,3.296,0
1.11667,26670.04652778,14289.74,-9.401296e-05,0.992972,1.182865,90.0,3.3268,0
1.13306,26670.04722222,14485.58,-9.296753e-05,1.306106,1.220407,90.0,3.3574,0
1.15,26670.04791667,14680.1,-9.190215e-05,1.608789,1.257253,90.0,3.3877,0
1.16639,26670.04861111,14873.31,-9.081731e-05,1.901376,1.293425,90.0,3.418,0
1.18333,26670.04930556,15065.23,-8.971346e-05,2.184205,1.328947,90.0,3.448,0
1.2,26670.05,15255.85,-8.859102e-05,2.457601,1.36384,90.0,3.4777,0
1.21639,26670.05069444,15445.18,-8.745039e-05,2.721872,1.398125,90.0,3.5073,0
1.23333,26670.05138889,15633.23,-8.629194e-05,2.977315,1.431821,90.0,3.5367,0
1.24972,26670.05208333,15820.0,-8.511602e-05,3.224211,1.464947,90.0,3.5658,0
1.26667,26670.05277778,16005.51,-8.392296e-05,3.462832,1.497522,90.0,3.5948,0
1.28306,26670.05347222,16189.76,-8.271305e-05,3.693436,1.529562,90.0,3.6236,0
1.3,26670.05416667,16372.76,-8.148658e-05,3.916271,1.561085,90.0,3.6522,0
1.31639,26670.05486111,16554.52,-8.024383e-05,4.131574,1.592105,90.0,3.6806,0
1.33333,26670.05555556,16735.04,-7.898504e-05,4.339574,1.622638,90.0,3.7089,0
1.35,26670.05625,16914.33,-7.771046e-05,4.540488,1.652699,90.0,3.7369,0
1.36639,26670.05694444,17092.4,-7.642029e-05,4.734526,1.682302,90.0,3.7648,0
1.38333,26670.05763889,17269.26,-7.511476e-05,4.921889,1.711459,90.0,3.7924,0
1.39972,26670.05833333,17444.92,-7.379406e-05,5.102771,1.740185,90.0,3.8199,0
1.41667,26670.05902778,17619.37,-7.245837e-05,5.277356,1.76849,90.0,3.8473,0
1.43306,26670.05972222,17792.64,-7.110787e-05,5.445823,1.796388,90.0,3.8744,0
1.45,26670.06041667,17964.73,-6.974272e-05,5.608343,1.82389,90.0,3.9013,0
1.46639,26670.06111111,18135.64,-6.836309e-05,5.765082,1.851005,90.0,3.9281,0
1.48333,26670.06180556,18305.39,-6.696911e-05,5.916198,1.877747,90.0,3.9547,0
1.5,26670.0625,18473.98,-6.556092e-05,6.061844,1.904123,90.0,3.9811,0
1.51639,26670.06319444,18641.42,-6.413866e-05,6.202167,1.930144,90.0,4.0073,0
1.53333,26670.06388889,18807.71,-6.270246e-05,6.337309,1.955821,90.0,4.0334,0
1.54972,26670.06458333,18972.87,-6.125242e-05,6.467407,1.98116,90.0,4.0593,0
1.56667,26670.06527778,19136.91,-5.978866e-05,6.592591,2.006173,90.0,4.085,0
1.58306,26670.06597222,19299.82,-5.831128e-05,6.71299,2.030866,90.0,4.1106,0
1.6,26670.06666667,19461.62,-5.682039e-05,6.828726,2.055248,90.0,4.136,0
1.61639,26670.06736111,19622.31,-5.531607e-05,6.939916,2.079328,90.0,4.1611,0
1.63333,26670.06805556,19781.91,-5.379843e-05,7.046677,2.103112,90.0,4.1861,0
1.65,26670.06875,19940.41,-5.226754e-05,7.149117,2.126608,90.0,4.2108,0
1.66639,26670.06944444,20097.83,-5.072349e-05,7.247343,2.149823,90.0,4.2361,0
1.73306,26670.07222222,20716.81,-4.441712e-05,7.600123,2.240008,90.0,4.3333,0
1.8,26670.075,21318.99,-3.790568e-05,7.893144,2.32621,90.0,4.428,0
1.86667,26670.07777778,21904.8,-3.119282e-05,8.131744,2.408783,90.0,4.5202,0
1.93333,26670.08055556,22474.64,-2.428159e-05,8.320628,2.488042,90.0,4.61,0
1.99972,26670.08333333,23028.88,-1.717456e-05,8.463968,2.564265,90.0,4.6973,0
2.06639,26670.08611111,23567.91,-9.873943e-06,8.565469,2.637698,90.0,4.7823,0
2.13333,26670.08888889,24092.05,-2.381634e-06,8.628445,2.708563,90.0,4.8651,0
2.2,26670.09166667,24601.65,5.300708e-06,8.655862,2.777057,90.0,4.9456,0
2.26639,26670.09444444,25097.01,1.317162e-05,8.650391,2.843359,90.0,5.0234,0
2.33306,26670.09722222,25578.43,2.12298e-05,8.614439,2.907629,90.0,5.0998,0
2.4,26670.1,26046.2,2.947408e-05,8.550187,2.970012,90.0,5.1739,0
2.46667,26670.10277778,26500.58,3.79034e-05,8.459615,3.030641,90.0,5.2459,0
2.53333,26670.10555556,26941.82,4.651679e-05,8.344527,3.089635,90.0,5.316,0
2.59972,26670.10833333,27370.16,5.531337e-05,8.206568,3.147105,90.0,5.3841,0
2.66639,26670.11111111,27785.84,6.429231e-05,8.047245,3.20315,90.0,5.4502,0
2.73333,26670.11388889,28189.08,7.345285e-05,7.867943,3.257863,90.0,5.5144,0
2.8,26670.11666667,28580.07,8.279427e-05,7.669933,3.311329,90.0,5.5768,0
2.86639,26670.11944444,28959.02,9.23159e-05,7.45439,3.363626,90.0,5.6372,0
2.93306,26670.12222222,29326.1,0.0001020171,7.2224,3.414827,90.0,5.6958,0
3.0,26670.125,29681.51,0.0001118973,6.974968,3.464998,90.0,5.7527,0
3.06667,26670.12777778,30025.4,0.0001219559,6.713027,3.514202,90.0,5.8078,0
3.13333,26670.13055556,30357.93,0.0001321924,6.437445,3.562496,90.0,5.8612,0
3.19972,26670.13333333,30679.26,0.0001426063,6.149034,3.609936,90.0,5.9128,0
3.26639,26670.13611111,30989.54,0.0001531972,5.848549,3.65657,90.0,5.9627,0
3.33333,26670.13888889,31288.89,0.0001639645,5.536699,3.702447,90.0,6.011,0
3.4,26670.14166667,31577.44,0.000174908,5.214147,3.74761,90.0,6.0577,0
3.46639,26670.14444444,31855.33,0.0001860271,4.881518,3.792101,90.0,6.1027,0
3.53306,26670.14722222,32122.66,0.0001973217,4.5394,3.83596,90.0,6.146,0
3.6,26670.15,32379.56,0.0002087912,4.188346,3.879223,90.0,6.1879,0
3.66667,26670.15277778,32626.11,0.0002204355,3.828881,3.921925,90.0,6.228,0
3.73333,26670.15555556,32862.43,0.0002322544,3.461499,3.9641,90.0,6.2667,0
3.79972,26670.15833333,33088.6,0.0002442475,3.086672,4.005778,90.0,6.3038,0
3.86639,26670.16111111,33304.72,0.0002564147,2.704847,4.04699,90.0,6.3393,0
